==460== NVPROF is profiling process 460, command: python custom_kernel/main.py --graph_path /graphs/DD --feature 89 --hidden 16 --classes 2 --kernel auto --gpu
==460== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version 
==460== Profiling application: python custom_kernel/main.py --graph_path /graphs/DD --feature 89 --hidden 16 --classes 2 --kernel auto --gpu
==460== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","SrcMemType","DstMemType","Device","Context","Stream","Name","Correlation_ID"
s,ms,,,,,,,,KB,KB,MB,GB/s,,,,,,,
2.575690,0.001280,,,,,,,,,,0.005432,4.144385,"Pageable","Device","GeForce GTX 1070 (0)","1","7","[CUDA memcpy HtoD]",135
2.575769,0.000608,,,,,,,,,,0.000061,0.098034,"Pageable","Device","GeForce GTX 1070 (0)","1","7","[CUDA memcpy HtoD]",147
2.575810,0.000672,,,,,,,,,,0.000977,1.419158,"Pageable","Device","GeForce GTX 1070 (0)","1","7","[CUDA memcpy HtoD]",159
2.575831,0.000608,,,,,,,,,,0.000061,0.098034,"Pageable","Device","GeForce GTX 1070 (0)","1","7","[CUDA memcpy HtoD]",171
2.575856,0.000608,,,,,,,,,,0.000122,0.196068,"Pageable","Device","GeForce GTX 1070 (0)","1","7","[CUDA memcpy HtoD]",183
2.575876,0.000608,,,,,,,,,,0.000008,0.012254,"Pageable","Device","GeForce GTX 1070 (0)","1","7","[CUDA memcpy HtoD]",195
2.576142,0.752034,,,,,,,,,,6.431931,8.352258,"Pageable","Device","GeForce GTX 1070 (0)","1","7","[CUDA memcpy HtoD]",229
2.577104,2.826404,,,,,,,,,,25.727722,8.889291,"Pageable","Device","GeForce GTX 1070 (0)","1","7","[CUDA memcpy HtoD]",241
2.580482,12.757012,,,,,,,,,,113.709736,8.704598,"Pageable","Device","GeForce GTX 1070 (0)","1","7","[CUDA memcpy HtoD]",255
